id,kind,symbol,name,legacy_symbol,aliases,price,key_item,description_group,description_label,description_text,use_handler,party_menu,close_menu,vending_price,guard_drink
0x2E,item,UNUSED_2E,UNUSED 2E,,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x2F,item,LEAF_STONE,LEAF STONE,,,2000,false,10,LeafStoneDescription,Evolves certain\nkinds of #MON.,ItemUseEvoStone,true,false,,false
0x30,item,UNUSED_30,UNUSED 30,CARD_KEY,,0,true,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x31,item,NUGGET,NUGGET,,,10000,false,29,NuggetDescription,A golden nugget to\nsell to shops.,UnusableItem,false,false,,false
0x32,item,DEVO_SPRAY,DEVO SPRAY,ITEM_32,,1000,false,30,DevoSprayDescription,Spray that reverts\n#MON evolution.,ItemUseEvoStone,false,false,,false
0x33,item,POKE_DOLL,POKé DOLL,,,1000,false,31,PokeDollDescription,Use to escape from\nwild #MON.,ItemUsePokeDoll,false,false,,false
0x34,item,PANACEA,PANACEA,,,500,false,32,PanaceaDescription,Cures any status\nproblem.,ItemUseMedicine,true,false,,false
0x35,item,REVIVE,REVIVE,,,1500,false,33,ReviveDescription,Revive a #MON\nto 1/2 HP.,ItemUseMedicine,true,false,,false
0x36,item,MAX_REVIVE,MAX REVIVE,,,4000,false,34,MaxReviveDescription,Revive a #MON\nto full HP.,ItemUseMedicine,true,false,,false
0x37,item,TEA_SHIPMENT,TEA SHIPMENT,GUARD_SPEC,,0,true,35,TeaShipmentDescription,A case of bottled\nhomemade tea.,UnusableItem,false,false,,true
0x38,item,UNUSED_38,UNUSED 38,SUPER_REPEL,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x39,item,UNUSED_39,UNUSED 39,MAX_REPEL,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x3A,item,UNUSED_3A,UNUSED 3A,DIRE_HIT,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x3B,item,COIN,COIN,,,10,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x3C,item,FRESH_WATER,FRESH WATER,,,100,false,36,FreshWaterDescription,Restores 25 HP of\na #MON.,ItemUseVitamin,true,false,100,false
0x3D,item,ICED_TEA,ICED TEA,SODA_POP,,200,false,37,IcedTeaDescription,Restores 50 HP of\na #MON.,ItemUseVitamin,true,false,200,false
0x3E,item,LEMONADE,LEMONADE,,,300,false,38,LemonadeDescription,Restores 75 HP of\na #MON.,ItemUseVitamin,true,false,300,false
0x3F,item,UNUSED_3F,UNUSED 3F,SS_TICKET,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x40,item,GOLD_TEETH,GOLD TEETH,,,0,true,39,GoldTeethDescription,"Shiny gold teeth,\nkinda gross.",UnusableItem,false,false,,false
0x41,item,UNUSED_41,UNUSED 41,,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x42,item,UNUSED_42,UNUSED 42,,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x43,item,UNUSED_43,UNUSED 43,,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x44,item,UNUSED_44,UNUSED 44,,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x45,item,COIN_CASE,COIN CASE,,,0,true,40,CoinCaseDescription,Holds up to 9999\nCOINS.,ItemUseCoinCase,false,false,,false
0x46,item,OAKS_PARCEL,OAK's PARCEL,,,0,true,41,OaksParcelDescription,A parcel for\nPROFFESSOR OAK.,ItemUseOaksParcel,false,false,,false
0x47,item,ITEMFINDER,ITEMFINDER,,,0,true,42,ItemfinderDescription,Finds hidden\nitems nearby.,ItemUseItemfinder,false,true,,false
0x48,item,UNUSED_48,UNUSED 48,SILPH_SCOPE,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x49,item,POKE_FLUTE,POKé FLUTE,,,0,true,43,PokeFluteDescription,Wakes #MON from\nsleep.,ItemUsePokeFlute,false,true,,false
0x4A,item,UNUSED_4A,UNUSED 4A,LIFT_KEY,,0,false,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x4B,item,EXP_ALL,EXP.ALL,,,0,true,44,ExpAllDescription,Gives all #MON\nin party EXP.,UnusableItem,false,false,,false
0x4C,item,UNUSED_4C,UNUSED 4C,OLD_ROD,,0,true,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x4D,item,UNUSED_4D,UNUSED 4D,GOOD_ROD,,0,true,51,NoItemDescription,This item is\nnot in use.,UnusableItem,false,false,,false
0x4E,item,FISHING_ROD,FISHING ROD,,,0,true,45,FishingRodDescription,A rod for fishing\nfor #MON.,ItemUseFishingRod,false,true,,false
0x4F,item,PP_UP,PP UP,,,9800,false,46,PPUpDescription,Raises PP of a\n#MON's move.,ItemUsePPUp,true,false,,false
0x50,item,ETHER,ETHER,,,5000,false,47,EtherDescription,Restores 10 PP of\na #MON's move.,ItemUsePPRestore,true,false,,false
0x51,item,MAX_ETHER,MAX ETHER,,,10000,false,48,MaxEtherDescription,Restores all PP of\na #MON's move.,ItemUsePPRestore,true,false,,false
0x52,item,ELIXIR,ELIXIR,,,7500,false,49,ElixirDescription,Restores 10 PP of\nall #MON moves.,ItemUsePPRestore,true,false,,false
0x53,item,MAX_ELIXIR,MAX ELIXIR,,,15000,false,50,MaxElixirDescription,Restores all PP of\nall #MON moves.,ItemUsePPRestore,true,false,,false
0x54,floor,FLOOR_B2F,B2F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x55,floor,FLOOR_B1F,B1F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x56,floor,FLOOR_1F,1F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x57,floor,FLOOR_2F,2F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x58,floor,FLOOR_3F,3F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x59,floor,FLOOR_4F,4F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x5A,floor,FLOOR_5F,5F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x5B,floor,FLOOR_6F,6F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x5C,floor,FLOOR_7F,7F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x5D,floor,FLOOR_8F,8F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x5E,floor,FLOOR_9F,9F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x5F,floor,FLOOR_10F,10F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x60,floor,FLOOR_11F,11F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
0x61,floor,FLOOR_B4F,B4F,,,0,false,51,NoItemDescription,This item is\nnot in use.,,false,false,,false
