id,constant,name,animation,animation_routine,effect,power,type,accuracy,pp,high_crit,sfx,sfx_pitch_mod,sfx_tempo_mod,description_1,description_2
89,EARTHQUAKE,EARTHQUAKE,89,EarthquakeAnim,NO_ADDITIONAL_EFFECT,95,GROUND,100,10,false,SFX_BATTLE_29,$0f,$e0,A powerful ground-,shaking strike.
90,FISSURE,FISSURE,90,FissureAnim,EXPLODE_EFFECT,150,GROUND,100,5,false,SFX_BATTLE_29,$11,$20,Rips up the earth.,Faints the user.
91,DIG,DIG,91,DigAnim,CHARGE_EFFECT,75,GROUND,100,15,false,SFX_DAMAGE,$10,$40,Digs underground.,Strikes next turn.
92,TOXIC,TOXIC,92,ToxicAnim,POISON_EFFECT,0,POISON,95,15,false,SFX_BATTLE_0F,$10,$c0,Sprays with toxin.,Badly poisons foe.
93,CONFUSION,CONFUSION,93,ConfusionAnim,CONFUSION_SIDE_EFFECT,40,PSYCHIC_TYPE,100,25,false,SFX_BATTLE_14,$00,$20,Psychic attack.,May confuse foe.
94,PSYCHIC_M,PSYCHIC,94,PsychicAnim,SPECIAL_DOWN_SIDE_EFFECT,95,PSYCHIC_TYPE,100,10,false,SFX_PSYCHIC_M,$00,$80,Attacks the mind.,May lower foe SPC.
95,HYPNOSIS,HYPNOSIS,95,HypnosisAnim,SLEEP_EFFECT,0,MYSTERY,90,20,false,SFX_BATTLE_35,$11,$18,A hypnotic move.,Puts foe to sleep.
96,PREPARE,PREPARE,96,PrepareAnim,ATTACK_UP1_EFFECT,0,MYSTERY,100,40,false,SFX_BATTLE_09,$20,$c0,Readies the body.,Raise ATK.
97,AGILITY,AGILITY,97,AgilityAnim,SPEED_UP2_EFFECT,0,MYSTERY,100,30,false,SFX_FAINT_FALL,$20,$c0,Relaxes the body.,Sharply raise SPD.
98,QUICK_ATTACK,QUICK ATTACK,98,QuickAttackAnim,NO_ADDITIONAL_EFFECT,40,NORMAL,100,30,false,SFX_BATTLE_25,$00,$10,A fast strike.,Always goes first.
99,RAGE,RAGE,99,RageAnim,RAGE_EFFECT,40,NORMAL,100,20,false,SFX_BATTLE_26,$f0,$20,"If a foe strikes,",sharply raise ATK.
100,TELEPORT,TELEPORT,100,TeleportAnim,SWITCH_AND_TELEPORT_EFFECT,0,MYSTERY,100,20,false,SFX_BATTLE_33,$f0,$c0,Teleport user away,from wild foes.
101,NIGHT_SHADE,NIGHT SHADE,101,NightShadeAnim,SPECIAL_DAMAGE_EFFECT,0,GHOST,100,15,false,SFX_NOT_VERY_EFFECTIVE,$f0,$e0,Deals damage equal,to user's level.
102,MIMIC,MIMIC,102,MimicAnim,MIMIC_EFFECT,0,MYSTERY,100,10,false,SFX_BATTLE_09,$f0,$40,Pick a foe's move,and copy it.
103,SCREECH,SCREECH,103,ScreechAnim,DEFENSE_DOWN2_EFFECT,0,MYSTERY,100,40,false,SFX_BATTLE_31,$00,$80,A loud screech.,Sharply lower DEF.
104,DOUBLE_DASH,DOUBLE DASH,104,DoubleDashAnim,ATTACK_TWICE_EFFECT,35,FAIRY,100,20,false,SFX_BATTLE_33,$80,$40,A dashing strike.,Hits twice.
105,RECOVER,RECOVER,105,RecoverAnim,HEAL_EFFECT,0,MYSTERY,100,20,false,SFX_BATTLE_33,$00,$80,A soothing move.,Heals the user.
106,SPARK,SPARK,106,SparkAnim,PARALYZE_SIDE_EFFECT2,65,ELECTRIC,100,20,false,SFX_BATTLE_2F,$00,$20,Sparking attack.,May paralyze foe.
107,MINIMIZE,MINIMIZE,107,MinimizeAnim,SPECIAL_UP2_EFFECT,0,MYSTERY,100,15,false,SFX_BATTLE_14,$22,$10,Shrinks the body.,Sharply raise SPC.
108,SMOKESCREEN,SMOKESCREEN,108,SmokeScreenAnim,CONFUSION_EFFECT,0,MYSTERY,75,20,false,SFX_BATTLE_1B,$f1,$ff,Blinding smoke.,Confuses foe.
109,CONFUSE_RAY,CONFUSE RAY,109,ConfuseRayAnim,CONFUSION_EFFECT,0,MYSTERY,100,10,false,SFX_BATTLE_13,$f1,$ff,Disorienting ray.,Confuses foe.
110,FLAME_CHARGE,FLAME CHARGE,110,FlameChargeAnim,CONFUSION_SIDE_EFFECT,60,FIRE,100,20,false,SFX_BATTLE_19,$10,$a0,A fiery tackle.,May confuse foe.
111,DEFENSE_CURL,DEFENSE CURL,111,DefenseCurlAnim,DEFENSE_UP1_EFFECT,0,MYSTERY,100,40,false,SFX_BATTLE_32,$40,$c0,Curls defensively.,Raise DEF.
112,BARRIER,BARRIER,112,BarrierAnim,DEFENSE_UP2_EFFECT,0,MYSTERY,100,30,false,SFX_BATTLE_0E,$20,$20,Creates a barrier.,Sharply raise DEF.
113,LIGHT_SCREEN,LIGHT SCREEN,113,LightScreenAnim,LIGHT_SCREEN_EFFECT,0,MYSTERY,100,30,false,SFX_BATTLE_0E,$f0,$10,Doubles SPC when,hit by SPC moves.
114,STAR_JAB,STAR JAB,114,StarJabAnim,NO_ADDITIONAL_EFFECT,100,FIGHTING,100,15,false,SFX_BATTLE_0D,$f8,$10,A high-power jab,attack!
115,REFLECT,REFLECT,115,ReflectAnim,REFLECT_EFFECT,0,MYSTERY,100,20,false,SFX_NOT_VERY_EFFECTIVE,$f0,$10,Doubles DEF when,hit by PHYS moves.
116,FOCUS_ENERGY,FOCUS ENERGY,116,FocusEnergyAnim,FOCUS_ENERGY_EFFECT,0,MYSTERY,100,30,false,SFX_BATTLE_25,$00,$80,User focuses body.,Raise crit chance.
117,BIDE,BIDE,117,BideAnim,BIDE_EFFECT,0,NORMAL,100,10,false,SFX_BATTLE_18,$00,$c0,"Wait 2 turns, then",double damage.
118,METRONOME,METRONOME,118,MetronomeAnim,METRONOME_EFFECT,0,MYSTERY,100,10,false,SFX_BATTLE_32,$c0,$ff,Randomly uses a,move.
119,MIRROR_MOVE,MIRROR MOVE,119,MirrorMoveAnim,MIRROR_MOVE_EFFECT,0,MYSTERY,100,20,false,SFX_BATTLE_09,$f2,$20,Attack foe with,their last move.
120,SELFDESTRUCT,SELFDESTRUCT,120,SelfdestructAnim,EXPLODE_EFFECT,150,NORMAL,100,5,false,SFX_BATTLE_34,$00,$80,Causes explosion.,Faints the user.
121,EGG_BOMB,EGG BOMB,121,EggBombAnim,NO_ADDITIONAL_EFFECT,100,GRASS,95,10,false,SFX_BATTLE_34,$00,$40,Throws explosive,eggs at foe.
122,LICK,LICK,122,LickAnim,PARALYZE_SIDE_EFFECT2,25,DARK,100,30,false,SFX_BATTLE_09,$00,$40,Licking attack.,May paralyze foe.
123,SMOG,SMOG,123,SmogAnim,POISON_SIDE_EFFECT2,65,POISON,100,25,false,SFX_NOT_VERY_EFFECTIVE,$10,$ff,Pump toxic smog.,May poison foe.
124,SLUDGE,SLUDGE,124,SludgeAnim,POISON_SIDE_EFFECT2,90,POISON,100,15,false,SFX_BATTLE_2A,$20,$20,Toss toxic sludge.,May poison foe.
125,BONE_CLUB,BONE CLUB,125,BoneClubAnim,FLINCH_SIDE_EFFECT1,60,GROUND,100,20,false,SFX_BATTLE_32,$00,$80,Smash foe with bone.,Foe may flinch.
126,FIRE_BLAST,FIRE BLAST,126,FireBlastAnim,BURN_SIDE_EFFECT2,100,FIRE,90,5,false,SFX_BATTLE_29,$1f,$20,Strong fire blast.,May burn foe.
127,WATERFALL,WATERFALL,127,WaterfallAnim,FLINCH_SIDE_EFFECT2,75,WATER,95,20,false,SFX_BATTLE_25,$2f,$80,A watery strike.,Foe may flinch.
128,WHIRLPOOL,WHIRLPOOL,128,WhirlpoolAnim,TRAPPING_EFFECT,25,WATER,75,15,false,SFX_BATTLE_0F,$1f,$ff,A watery spiral.,Lasts 2-5 turns.
129,SWIFT,SWIFT,129,SwiftAnim,SWIFT_EFFECT,60,FAIRY,100,20,false,SFX_BATTLE_2B,$1f,$60,A swift attack.,Always hits.
130,SKULL_BASH,SKULL BASH,130,SkullBashAnim,CHARGE_EFFECT,150,ROCK,100,5,false,SFX_BATTLE_26,$1e,$20,Charge energy to,smash the foe.
131,SPIKE_CANNON,SPIKE CANNON,131,SpikeCannonAnim,TWO_TO_FIVE_ATTACKS_EFFECT,30,ROCK,100,15,false,SFX_BATTLE_26,$1f,$18,Shoot hard spikes.,Hits 2-5 times.
132,NIGHT_SLASH,NIGHT SLASH,132,NightSlashAnim,NO_ADDITIONAL_EFFECT,70,DARK,100,20,true,SFX_NOT_VERY_EFFECTIVE,$01,$ff,A sneaky slash.,High crit chance.
133,AMNESIA,AMNESIA,133,AmnesiaAnim,SPECIAL_UP2_EFFECT,0,MYSTERY,100,20,false,SFX_BATTLE_09,$f8,$10,A mental block.,Sharply raise SPC.
134,KINESIS,KINESIS,134,KinesisAnim,FLINCH_SIDE_EFFECT1,50,PSYCHIC_TYPE,100,15,false,SFX_FAINT_FALL,$18,$20,Psychic barrage.,Foe may flinch.
135,SOFTBOILED,SOFTBOILED,135,SoftboiledAnim,HEAL_EFFECT,0,MYSTERY,100,10,false,SFX_BATTLE_32,$08,$40,Nourish the body.,Heals the user.
136,HI_JUMP_KICK,HI JUMP KICK,136,HiJumpKickAnim,JUMP_KICK_EFFECT,95,FIGHTING,100,20,false,SFX_BATTLE_17,$01,$e0,May miss kick and,hurt the user.
137,GLARE,GLARE,137,GlareAnim,PARALYZE_EFFECT,0,MYSTERY,75,30,false,SFX_NOT_VERY_EFFECTIVE,$09,$ff,A menacing glare.,Paralyzes foe.
138,DREAM_EATER,DREAM EATER,138,DreamEaterAnim,DREAM_EATER_EFFECT,100,GHOST,100,15,false,SFX_BATTLE_35,$42,$01,Drains HP from,sleeping foe.
139,VENOM_STRIKE,VENOM STRIKE,139,VenomStrikeAnim,NO_ADDITIONAL_EFFECT,70,POISON,100,20,true,SFX_BATTLE_1B,$00,$80,Venomous strike.,High crit chance.
140,BARRAGE,BARRAGE,140,BarrageAnim,TWO_TO_FIVE_ATTACKS_EFFECT,30,GRASS,90,20,false,SFX_BATTLE_32,$08,$e0,Rapid seed attack.,Hits 2-5 times.
141,LEECH_LIFE,LEECH LIFE,141,LeechLifeAnim,DRAIN_HP_EFFECT,60,BUG,95,20,false,SFX_BATTLE_24,$00,$80,Saps the foe's HP.,Heals the user.
142,DRAIN_KISS,DRAIN KISS,142,DrainKissAnim,DRAIN_HP_EFFECT,50,FAIRY,100,20,false,SFX_BATTLE_09,$88,$10,Sucks HP from foe.,Heals the user.
143,SKY_ATTACK,SKY ATTACK,143,SkyAttackAnim,CHARGE_EFFECT,200,FLYING,100,5,false,SFX_BATTLE_25,$48,$ff,Charges air strike,against the foe.
144,TRANSFORM,TRANSFORM,144,TransformAnim,TRANSFORM_EFFECT,0,MYSTERY,100,10,false,SFX_FAINT_FALL,$ff,$ff,Transforms body,to become foe.
